company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
Amount,95,18,6/27/2022,FinTech,Chicago,TechCrunch,Private,
Ro,95,18,6/23/2022,Health Care,New York,TechCrunch,Private,
Socure,104,19,1/5/2023,"cybsersecurity, predictive analytics","Incline Village, NV",Biometric Update,Private,
Postscript,43,19,6/26/2022,"Marketing Tech, SMS Marketing",San Francisco,Alex Beller,Private,
Qumolo,80,19,6/29/2022,Data storage,Seattle,GeekWire,Private,
OfferUp,95,19,11/15/2022,"E-commerce, marketplace","Bellevue, WA",GeekWire,Private,
Change.org,95,19,7/28/2022,CivicTech,San Francisco,Change.org,Private,
HomeLight,95,19,6/29/2022,"Proptech, Real Estate",San Francisco,The Real Deal,Private,
Homeward,120,20,8/11/2022,"Real Estate, PropTech",Austin,The Real Deal,Private,
Turntide,130,20,7/28/2022,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private,
Flyhomes,150,20,7/20/2022,"Real Estate, PropTech",Seattle,GeekWire,Private,
Curology,150,20,3/16/2022,E-commerce,San Francisco,SF Business Times,Private,
MasterClass,156,20,6/22/2022,Edtech,San Francisco,MasterClass CEO David Rogier,Private,
Lacework,200,20,5/26/2022,Cybersecurity,San Jose,The Information,Private,
Equitybee,25,20,10/31/2022,Fintech,San Francisco,Calcalistech,Private,
Airtable,254,20,12/8/2022,"Data science, enterprise",San Francisco,Airtable,Private,
Plaid,260,20,12/7/2022,Fintech,San Francisco,TechCrunch,Private,
Nate,30,20,8/30/2022,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time."
Coterie Insurance,30,20,5/27/2022,InsurTech,Cincinnati,CincyInno,Private,
Intrinsic,40,20,1/11/2023,"robotics, AI","Mountain View, CA",This Information,Private,
Rhino,57,20,2/3/2022,"PropTech, InsurTech",New York,The Real Deal,Private,
Flexport,640,20,1/11/2023,shipping and logistics,San Francisco,CNBC,Private,
Redesign Health,67,20,10/10/2022,health care,New York,Fast Company,Private,
Astronomer,76,20,1/4/2023,"Data analytics, cloud services",Cincinnati,Astronomer,Private,
Calm,90,20,8/11/2022,"personal health, wellness",San Francisco,Wall Street Journal,Private,
Shippo,95,20,11/3/2022,Logistics,San Francisco,Shippo CEO,Private,
Brightline,95,20,11/1/2022,Health care,"Palo Alto, CA",Behavioral Health Business,Private,
Scale,95,20,1/9/2023,"AI, image recognition",San Francisco,Scale,Private,
OpenSea,95,20,7/14/2022,"Crypto, NFT marketplace",New York,Devin Finzer,Private,
Buzzer,95,20,6/20/2022,"Media, Sports",New York,Sportico,Private,
Greenlight,104,21,1/12/2023,"Fintech, banking",Atlanta,TechCrunch,Private,
Flipboard,24,21,10/16/2022,News,"Palo Alto, CA",Axios,Private,
Advata,32,21,10/28/2022,"health care, analytics","Bellevue, WA",GeekWire,Private,
Superhuman,23,22,6/3/2022,Email Software,San Francisco,CEO Rahul Vohra,Private,
Exodus,59,22,11/4/2022,"Cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private,
Tonkean,23,23,6/15/2022,Software,San Francisco,The Marker,Private,
Lokalise,76,23,11/16/2022,"Saas, APIs","Dover, DE",Lokalise founders,Private,
Karbon,95,23,9/12/2022,"Productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,
Loom,57,24,10/20/2022,Enterprise Communication,San Francisco,SFGate,Private,
Cedar,95,24,7/7/2022,Health Care,New York,Business Insider,Private,
Hyperscience,100,25,3/3/2022,AI,New York,The Information,Private,
Celsius,150,25,7/3/2022,Crypto,"Hoboken, New Jersey",CTech,Private,
Baton,16,25,6/29/2022,"Transporation, Logistics",San Francisco,Freight Waves,Private,
Policygenius,170,25,6/2/2022,InsurTech,New York,TechCrunch,Private,
IRL,25,25,6/2/2022,Social Media,San Francisco,TechCrunch,Private,
Vise,25,25,5/4/2022,Fintech,New York,CityWire,Private,
Section4,32,25,5/12/2022,Edtech,New York,TechCrunch,Private,
Capitolis,37,25,11/17/2022,Fintech,New York,Calcalistech,Private,
On Deck,72,25,5/5/2022,Business development,San Francisco,TechCrunch,Private,
Outschool,74,25,12/10/2022,EdTech,San Francisco,TechCrunch,Private,"Outschool laid off 31 people, or 18% of the company, back in July. In December it laid off another 43 people, which amounted to 25% of the staff at the time."
OneTrust,950,25,6/9/2022,Cybersecurity,Atlanta,OneTrust,Private,
OneStudyTeam,95,25,12/6/2022,"health care, cloud infrastructure",Boston,Mobi Health News,Private,
Homeward,95,25,11/16/2022,Proptech,"Austin, TX",Homeward,Private,
Medium,95,25,9/6/2022,Publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,
SafeGraph,27,25,6/27/2022,"Artificial Intelligence, Machine Learning",San Francisco,SafeGraph,Private,
DataRobot,95,26,8/23/2022,"AI, enterprise software",Boston,The Information,Private,
EquityZen,30,27,10/31/2022,Fintech,New York,Axios,Private,
Clear Capital,378,27,10/14/2022,PropTech,"Truckee, CA",TechCrunch,Private,
Shelf Engine,43,29,7/29/2022,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private,
Veev,100,30,11/11/2022,PropTech,San Mateo,Calcalistech,Private,
Pacaso,100,30,10/11/2022,PropTech,San Francisco,Inman,Private,
Snappy,100,30,1/13/2023,"social impact, company benefits",New York,Calcalistech,Private,
Kraken,1100,30,11/30/2022,Cryptocurrency,San Francisco,Kraken,Private,
AtoB,32,30,10/19/2022,FinTech,San Francisco,SFGate,Private,
Genesis,60,30,1/5/2023,"Cryptocurrency, blockchain",New York,CNBC,Private,
Almanac,95,30,8/13/2022,"Collaboration, productivity",San Francisco,LinkedIn,Private,
SuperRare,95,30,1/6/2023,"Blockchain, cryptocurrency","Newark, DE",TechCrunch,Private,
Homie,162,32,10/4/2022,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,
Socure,173,32,1/5/2023,Identity verification,Reno,Biometric Update,Private,
Bolt,250,33,5/25/2022,FinTech,San Francisco,Fortune,Private,
Candy Digital,33,33,11/28/2022,Cryptocurrency,New York,Decrypt,Private,
Ideoclick,40,33,5/4/2022,E-commerce,Seattle,Puget Sound Business Journal,Private,
Brave Care,40,33,9/6/2022,"Pediatrics, telehealth",Portland,The Oregonian,Private,
Tomo,44,33,5/31/2022,"FinTech, PropTech",Stamford,Business Insider,Private,
MainStreet,50,33,5/4/2022,Fintech,San Jose,Insider,Private,
Replicated,50,33,5/31/2022,Enterprise Software,Los Angeles,Replicated,Private,
Hologram,80,33,6/9/2022,IoT,Chicago,Crain's Chicago Business,Private,
Esper,95,33,1/10/2023,DevOps,Seattle,GeekWire,Private,
TruePill,95,33,9/30/2022,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,
Happy Money,158,34,11/30/2022,"Fintech, payments",Los Angeles,LinkedIn reports,Private,
Tonal,262,35,7/13/2022,Fitness,San Francisco,CNBC,Private,
Hydrow,70,35,7/21/2022,Fitness,Boston,Boston Globe,Private,
Callisto Media,95,35,10/25/2022,Analytics,"Emeryville, California",Publishers Weekly,Private,
Lunchbox,95,37,1/10/2023,"Restaurant Tech, Food Tech",New York,Business Insider,Private,
Fabric,120,40,7/13/2022,"E-commerce, Logistics",New York,TechCrunch,Private,
Rasa,59,40,4/4/2022,Artificial Intelligence,San Francisco,Business Insider,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K. Layoffs affected around 40% of employees."
NCX,95,40,11/28/2022,"Renewable energy, forestry",San Francisco,NCX,Private,
Fundbox,150,42,10/25/2022,Fintech,San Francisco,Calcalistech,Private,
Zeus Living,64,46,10/20/2022,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private,
Knock,95,46,3/15/2022,Proptech,New York,The Real Deal,Private,
Ocavu,20,48,11/10/2022,Cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private,
Better.com,5000,50,4/19/2022,Fintech,New York,TechCrunch,Private,
Virgin Hyperloop,111,50,2/22/2022,Transporation,Los Angeles,Fortune,Private,
Notarize,170,50,10/31/2022,Legal Tech,Boston,Boston Business Journal,Private,
Iron Ox,50,50,11/2/2022,"AgTech, food and beverage",San Francisco,TechCrunch,Private,
BloomTech,88,50,12/1/2022,Edtech,San Francisco,TechCrunch,Private,
Medly Pharmacy,95,50,9/7/2022,"Pharmacy, health care",New York,Crain's New York,Private,
Bizzabo,220,60,12/1/2022,Virtual Event,New York,Calcalistech,Private,
Parler,60,75,1/10/2023,Social media,"Nashville, TN",The Verge,Private,
Mojo Vision,95,75,1/6/2023,"AR, health care","Saratoga, CA",TechCrunch,Private,
Uniphore,76,76,1/3/2023,"Artificial intelligence, machine learning","Palo Alto, CA",Outlook Start-Up,Private,
Butler Hospitality,1000,100,7/8/2022,Hospitality,New York,TechCrunch,Private,
SummerBio,101,100,6/20/2022,"Health Care, Diagnostics",Menlo Park,Bay Area Inno,Private,
Reali,140,100,8/24/2022,PropTech,"San Mateo, CA",Calcalistech,Private,
Fast,400,100,4/5/2022,Fintech,San Francisco,The Information,Private,
Protocol Media,60,100,11/15/2022,"News, media",San Francisco,CNN,Private,
WanderJaunt,85,100,7/1/2022,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,
Wyre,95,100,1/4/2023,"Cryptocurrency, blockchain",San Francisco,Blockworks,Private,
Lantern,95,100,1/6/2023,"E-commerce, consumer lending","Grand Rapids, MI",Lantern CEO Meredith Mahoney,Private,
Lora DiCarlo Inc.,95,100,12/2/2022,"Wellness, consumer goods","Bend, OR",TechCrunch,Private,
Bitfront,95,100,11/29/2022,Cryptocurrency,"Palo Alto, CA",Reuters,Private,
Assure,95,100,11/23/2022,Fintech,Salt Lake City,Axios,Private,
GloriFi,95,100,11/21/2022,Fintech,Dallas,WSJ,Private,
Kite,95,100,11/16/2022,"AI, coding",San Francisco,Kite,Private,
Wavely,95,100,11/10/2022,"hiring, HR","Palo Alto, CA",Wavely,Private,
Fifth Season,95,100,10/28/2022,Vertical farming,Pittsburgh,Pittsburgh Business Journal,Private,
Argo AI,95,100,10/26/2022,Transportation,Pittsburgh,TechCrunch,Private,
CommonBond,95,100,9/9/2022,"FinTech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,
The Wing,95,100,8/31/2022,Coworking,New York,The Information,Private,
Edmodo,95,100,8/16/2022,Edtech,"San Mateo, CA",EdSurge,Private,
Haus,95,100,8/8/2022,food and beverage,"Healdsburg, CA",TechCrunch,Private,
BlockFi,95,100,11/28/2022,Crypto,Jersey City,Decrypt,Private,
Pesto,95,100,9/23/2022,"IT, future of work",San Francisco,Pesto announcement,Private,
Kitty Hawk,95,100,9/21/2022,aerospace,Mountain View,CNBC,Private,
Subspace,95,100,5/13/2022,Media/entertainment,Los Angeles,LinkedIn,Private,
Halcyon Health,95,100,4/15/2022,Health Care,New York,Axios,Private,
Ahead,95,100,4/14/2022,Health Care,"Santa Clara, CA",Bloomberg,Private,
100 Thieves,12,18,1/10/2023,"eSports, Media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees."
Orbit,14,18,8/12/2022,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
Cybereason,100,18,6/1/2022,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
Progrexion,100,18,6/7/2022,FinTech,Salt Lake City,Crunchbase News,Private,
Gem,100,18,11/2/2022,Recruiting,San Francisco,Gem CEO,Private,
Glossier,104,18,8/2/2022,Beauty,New York,Modern Retail,Private,
Stripe,1050,18,11/3/2022,Fintech,San Francisco,Bloomberg,Private,
Curative,109,18,9/20/2022,health diagnostics,Los Angeles,Digital Health,Private,
Noom,1095,18,10/11/2022,Fitness/Digital Health,New York,TechCrunch,Private,
Homepoint,113,18,11/17/2022,Proptech,"Greenville, SC",Phoenix Business Journal,Private,
Arc,13,18,7/20/2022,HR Tech,Mountain View,LinkedIn,Private,
ChowNow,140,18,12/14/2022,"Restaurant Tech, Food Tech","Playa Visa, California",Restaurant Business Online,Private,
Healthcare.com,149,18,8/3/2022,Insurtech,"Miami, FL",Miami Inno,Private,
Finite State,16,18,6/17/2022,Cybersecurity,Columbus,ColumbusInno,Private,
Rad Power Bikes,163,18,7/21/2022,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
Cameo,167,18,5/4/2022,Media/entertainment,Chicago,The Information,Private,
Weedmaps,175,18,12/6/2022,"Marijuana, marketing","Irvine, CA",Business Insider,Private,
Orchard,180,18,11/17/2022,Proptech,New York,Inman,Private,
Clyde,19,18,4/25/2022,E-commerce,New York,External Spreadsheet,Private,
AvantStay,224,18,11/9/2022,Travel,Los Angeles,Skift,Private,
Booking.com,226,18,11/1/2022,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,
Aspire,23,18,7/15/2022,Marketing tech,San Francisco,Business Insider,Private,
Gopuff,2300,18,10/21/2022,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October."
Eaze,25,18,6/2/2022,Cannabis,San Francisco,Business Insider,Private,
Nuro,310,18,11/18/2022,Transportation,Mountain View,The Robot Report,Private,
Citizen,33,18,1/11/2023,Surveillance,New York,TechCrunch,Private,
Balto,35,18,12/12/2022,"Artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,
Hopin,370,18,7/11/2022,Virtual Event,London,TechCrunch,Private,
Vial,40,18,1/13/2023,"health care, clinical trials",San Francisco,Business Insider,Private,
Wistia,40,18,11/10/2022,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,
FreshDirect,40,18,8/25/2022,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
Adwerx,40,18,7/12/2022,Digital Marketing,"Durham, North Carolina",Inman,Private,
Community,40,18,6/22/2022,Social Media,Los Angeles,Business Insider,Private,
Esme Learning,40,18,6/2/2022,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,
Luxury Presence,44,18,1/17/2023,"proptech, advertising","Santa Monica, CA",Inman,Private,
Hubilo,45,18,7/12/2022,Virtual Events,San Francisco,Inc42,Private,
Olive,450,18,7/19/2022,Health Care,Columbus,Olive,Private,
Imperfect Foods,50,18,8/1/2022,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,
Tempo Automation,54,18,8/17/2022,automotive,San Francisco,San Francisco Business Times,Private,
Chili Piper,58,18,11/17/2022,"enterprise software, productivity",New York,Chili Piper,Private,
On Deck,73,18,8/4/2022,"Networking, business development",San Francisco,TechCrunch,Private,
Varo,75,18,7/20/2022,Fintech,San Francisco,Axios,Private,
Nylas,80,18,8/2/2022,"Software, Emails, API",San Francisco,Nylas,Private,
Career Karma,82,18,1/12/2023,"Career planning, social network",San Francisco,TechCrunch,Private,
Rev.com,85,18,10/7/2022,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,
The Zebra,90,18,11/15/2022,"Insurance, fintech","Austin, TX",Coverager,Private,
Colossus,97,18,5/20/2022,"Solar, Software",Massachusetts,Axios,Private,
OnlyFans,95,18,8/1/2022,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US
Talkdesk,95,18,5/19/2022,Customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off
StubHub,95,18,8/4/2022,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post
Cerebral,95,18,10/24/2022,Health Care,San Francisco,Wall Street Journal,Private,The company previously laid off employees in May.
Elemy,95,18,12/5/2022,Health Care,San Francisco,Behavioral Health Business,Private,The company previously laid off workers in July.
TikTok,95,18,7/18/2022,Social Media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S."
RateGenius,95,18,1/17/2023,"consumer lending, fintech","Austin, TX",AustinInno,Private,
GoCanvas,95,18,1/13/2023,"productivity, enterprise software","Reston, VA",GoCanvas CEO Viyas Sundaram,Private,
CoSchedule,95,18,1/13/2023,"productivity, marketing","Bismarck, ND",Inforum,Private,
Oyster,95,18,1/11/2023,"human resources, SaaS","Charlotte, NC",Oyster,Private,
Embark,95,18,1/11/2023,"Pet tech, health care",Boston,Embark CEP Ryan Boyko,Private,
Cart.com,95,18,1/10/2023,"E-commerce, DTC","Austin, TX",AustinInno,Private,
